Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
3.443;1.0229;-0.0208;0.1942;-4.2977;0.9542;-0.8855;30.7888;
3.465;1.0205;-0.0220;0.1964;-4.2519;0.8626;-0.8397;30.6947;
3.486;1.0171;-0.0264;0.1975;-4.0840;1.0382;-0.6336;30.6947;
3.506;1.0239;-0.0205;0.2017;-4.0534;0.9237;-0.8092;30.6947;
3.527;1.0183;-0.0249;0.1986;-4.2061;1.0992;-0.6641;30.6947;
3.548;1.0205;-0.0251;0.2028;-4.1985;1.0687;-0.6489;30.7888;
3.569;1.0190;-0.0234;0.1892;-4.2366;1.1527;-1.0305;30.6947;
3.590;1.0186;-0.0220;0.1973;-4.2290;1.0305;-0.8779;30.6947;
3.612;1.0183;-0.0193;0.2070;-4.3206;1.1374;-0.7481;30.6947;
3.633;1.0156;-0.0200;0.1909;-4.1298;0.9695;-0.9924;30.6947;
3.654;1.0161;-0.0186;0.2031;-4.2366;0.9160;-0.9160;30.6947;
3.674;1.0181;-0.0242;0.2070;-4.1221;1.0687;-0.8397;30.6947;
3.695;1.0203;-0.0264;0.2114;-4.0687;0.7939;-0.8626;30.6947;
3.716;1.0132;-0.0210;0.1973;-4.0916;0.9924;-0.9847;30.7888;
3.738;1.0139;-0.0168;0.2097;-4.1985;1.0076;-0.9008;30.7888;
3.758;1.0222;-0.0195;0.1950;-4.1985;0.9466;-0.8855;30.7888;
3.779;1.0220;-0.0146;0.2053;-4.4122;1.0458;-0.8779;30.7888;
3.800;1.0220;-0.0261;0.1984;-4.0382;1.1145;-0.9237;30.7888;
3.821;1.0171;-0.0195;0.1881;-4.3130;0.8321;-0.7176;30.6947;
3.842;1.0212;-0.0203;0.2000;-4.1069;1.0916;-0.7252;30.7888;
3.863;1.0176;-0.0188;0.2014;-4.1527;1.1374;-0.7863;30.7888;
3.884;1.0198;-0.0251;0.2011;-4.0992;1.2061;-0.7939;30.6947;
3.905;1.0176;-0.0178;0.1984;-3.9695;0.9771;-0.8015;30.6947;
3.926;1.0210;-0.0203;0.2031;-4.1679;1.0611;-0.9008;30.6947;
3.948;1.0186;-0.0193;0.1942;-4.0458;1.0000;-0.9542;30.6947;
3.968;1.0146;-0.0176;0.2045;-4.0458;0.9313;-0.9084;30.6947;
3.989;1.0176;-0.0215;0.2075;-4.2748;0.7176;-0.8321;30.6947;
4.011;1.0229;-0.0242;0.1964;-4.2061;1.0305;-0.8779;30.6947;
4.031;1.0166;-0.0242;0.1928;-4.1603;1.0382;-0.8397;30.6947;
4.053;1.0139;-0.0242;0.1898;-4.0382;0.9466;-0.6336;30.6006;
4.073;1.0198;-0.0176;0.1984;-4.1145;1.1908;-0.8626;30.6947;
4.094;1.0183;-0.0195;0.2078;-4.1374;1.0076;-0.9466;30.6947;
4.115;1.0151;-0.0259;0.1984;-4.1527;1.0229;-0.7099;30.6947;
4.136;1.0222;-0.0181;0.1986;-4.0076;0.8626;-0.9695;30.6947;
4.157;1.0181;-0.0239;0.1898;-3.9237;0.7939;-0.6794;30.6947;
4.178;1.0203;-0.0229;0.2045;-3.9847;1.2672;-0.8244;30.6947;
