Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
2.672;1.0107;0.0005;0.2716;-4.2443;0.9313;-0.7557;30.0359;
2.694;1.0103;-0.0027;0.2738;-4.2290;0.9466;-0.7405;30.0359;
2.715;1.0129;-0.0034;0.2747;-4.2824;1.1374;-0.8931;30.0359;
2.736;1.0110;-0.0054;0.2702;-4.3282;0.9237;-0.9237;30.0359;
2.756;1.0154;-0.0002;0.2810;-4.0611;0.9160;-0.9618;29.9418;
2.777;1.0085;-0.0066;0.2755;-4.3206;1.0763;-0.8626;29.9418;
2.798;1.0103;-0.0029;0.2738;-4.1832;0.7939;-0.9008;29.9418;
2.820;1.0112;-0.0078;0.2744;-4.1069;1.0611;-0.9237;29.9418;
2.841;1.0037;-0.0044;0.2783;-4.2519;0.9924;-0.9389;29.9418;
2.863;1.0098;-0.0049;0.2741;-4.2443;0.9847;-0.8779;30.0359;
2.884;1.0107;-0.0042;0.2705;-4.3817;0.8626;-0.8092;29.9418;
2.904;1.0107;-0.0066;0.2766;-4.2595;1.1527;-0.8321;29.9418;
2.925;1.0071;-0.0005;0.2694;-4.2595;1.1985;-0.8779;30.0359;
2.946;1.0100;-0.0081;0.2835;-4.0382;1.0611;-0.9084;30.0359;
2.967;1.0110;-0.0044;0.2844;-4.1527;1.0229;-0.8168;30.0359;
2.989;1.0100;-0.0051;0.2772;-4.0840;1.2214;-0.8397;30.0359;
3.010;1.0081;-0.0039;0.2797;-4.2290;0.9084;-0.7328;30.0359;
3.030;1.0122;-0.0076;0.2697;-4.2672;0.9771;-0.7634;29.9418;
3.052;1.0151;-0.0112;0.2802;-4.2137;0.8626;-0.7939;30.0359;
3.073;1.0076;-0.0007;0.2821;-4.2290;0.9695;-0.8244;30.0359;
3.094;1.0132;-0.0059;0.2711;-4.2824;0.8702;-0.8626;30.0359;
3.116;1.0120;-0.0066;0.2755;-4.1985;1.0611;-0.9389;29.9418;
3.137;1.0083;-0.0032;0.2733;-4.1450;1.0916;-0.8168;30.0359;
3.158;1.0127;-0.0071;0.2752;-4.3053;0.8931;-0.9237;30.0359;
3.179;1.0095;-0.0063;0.2730;-4.1527;1.0153;-0.8473;30.0359;
3.200;1.0115;-0.0071;0.2697;-4.0840;0.9695;-0.9008;30.0359;
3.220;1.0098;-0.0073;0.2733;-4.1069;1.0305;-0.7634;29.9418;
3.242;1.0037;-0.0034;0.2680;-4.1221;0.9084;-0.9084;30.0359;
3.263;1.0120;-0.0071;0.2769;-4.0458;1.0763;-0.7557;30.0359;
3.283;1.0093;-0.0076;0.2830;-4.1450;0.9084;-0.8702;30.0359;
